Species	Date_described	Marker	Version	ITS_GenBank_Accession	Genbank_species_names	reference	date_genbank_entry	Tax_ID	Marker_complete	genbank_entry_len	start	stop	Comments_on_ITS_region	ITS_Clade	sub-clade	UK	Geographical_distribution	Recorded_Host	Preferred_environment	DNA_only	Comment_General	Temp._Optima	Temp._Maxima	Cox	Evidence_type	Assertion_method	Source	Xref_accession	Confidence	Notes	Change_note
Phytophthora arenaria	2011	ITS	1	HQ013219	Phytophthora_arenaria	" Rea,A.J., Burgess,T.I., Hardy,G.E.St.J., Stukely,M.J.C. and Jung,T. title: Two novel and potentially endemic species of Phytophthora associated with episodic dieback of Kwongan vegetation in the south-west of Western Australia journal: Plant Pathol. 60 (6), 1055-1068 (2011) medline id:  pubmed id:  comment:  location: [0:788] "	30-Jun-15	929574	Yes	788	1	180		4		Not in UK															
Phytophthora asiatica	2014	ITS	1	AB538397	Phytophthora_asiatica	" Rahman,M.Z., Mukobata,H., Suga,H. and Kageyama,K. title: Phytophthora asiatica sp. nov., a new species causing leaf and stem blight of kudzu in Japan journal: Mycol. Prog. 13, 759-769 (2014) medline id:  pubmed id:  comment:  location: [0:826] "	02-Aug-14	1529059		826	1	199	japan	7		Not in UK	Japan	Kudzu			To date only from Japan			AB740170							
Phytophthora asparagi	2012	ITS	1	EF185089	Phytophthora_sp._LT	" Saude,C., Hurtado-Gonzales,O.P., Lamour,K.H. and Hausbeck,M.K. title: Occurrence and characterization of a Phytophthora sp. pathogenic to asparagus (Asparagus officinalis) in Michigan journal: Phytopathology 98 (10), 1075-1083 (2008) medline id:  pubmed id: 18943453 comment:  location: [0:818] "	15-Sep-10	419135	Yes	818	1	193	ADAS Kim	6		UK	Limited 	Asparagus	Farmed land		Cause of asparagus spear rot										
Phytophthora attenuata	2016	ITS	1	KU517154	Phytophthora_attenuata_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chandelier,T.-T., Heungens,H., van Poucke,K., Abad-Campos,P., Leon,M., Cacciola,S.O. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2017) medline id:  pubmed id:  comment:  location: [0:831] "	24-Oct-16	1861846	Yes	831	1	199	Jung Persoonia 2016	7		Not in UK	Taiwan		Forests		Survey of generally healthy forests in Taiwan	n/a	n/a								
Phytophthora austrocedri	2007	ITS	1	DQ995184	Phytophthora_sp._austrocedri	" Greslebin,A.G., Hansen,E.M. and Sutton,W. title: Phytophthora austrocedri sp. nov., a new species associated with Austrocedrus chilensis mortality in Patagonia (Argentina) journal: Mycol. Res. 111 (PT 3), 308-316 (2007) medline id:  pubmed id: 17368010 comment: Erratum:[Mycol Res. 2007 Jun;111(Pt 6):633-4] location: [0:1194] "	13-Mar-07	631361	Yes	1194	378	550	"Same seq as ""haplotype 2"""	8	d	Scotland	Widespread	Juniper	Native		Reported in native vegetation and two cypress hosts	15-21	22								
Phytophthora austrocedri	2007	ITS	1	KU953997	Phytophthora_austrocedri	" Henricot,B. title: Morphological and phylogenetic analyses separate Phytophthora austrocedri into two distinct lineages journal: Unpublished medline id:  pubmed id:  comment:  location: [0:815] "	31-Aug-17	631361	Yes	815	1	173	"""haplotype 1"""	8	d	Scotland	Widespread	Juniper	Native		Reported in native vegetation and two cypress hosts	15-21	22								
Phytophthora austrocedri	2007	ITS	1	KU954009	Phytophthora_austrocedri	" Henricot,B. title: Morphological and phylogenetic analyses separate Phytophthora austrocedri into two distinct lineages journal: Unpublished medline id:  pubmed id:  comment:  location: [0:815] "	31-Aug-17	631361	Yes	815	1	173	strain TDJ3	8	d	Scotland	Widespread	Juniper	Native		Reported in native vegetation and two cypress hosts	15-21	22								
Phytophthora bilorbang	2012	ITS	1	JQ256377	Phytophthora_bilorbang	" Aghighi,S., Hardy,G.E.S.J., Scott,J.K. and Burgess,T.I. title: Phytophthora bilorbang sp. nov., a new species associated with the decline of Rubus anglocandicans (European blackberry) in Western Australia journal: Eur. J. Plant Pathol. 133 (4), 841-855 (2012) medline id:  pubmed id:  comment:  location: [0:816] "	13-Dec-12	1197710	Yes	816	1	192	DNA evidence IGB	6		Scotland	Single finding	Water only	n/a	DNA only	Reported on Blackberry in Australia										
Phytophthora bisheria	2008	ITS	1	AY241924	Phytophthora_bisheria_isolate	" Abad,G.Z., Abad,J.A. and Louws,F.J. title: APS Abstracts Submitted for Presentation at the 2001 APS/MSA/SON Joint Meeting journal: Phytopathology 91 (6 SUPPL), S1-S100 (2001) medline id:  pubmed id: 18943384 comment:  location: [0:804] "	27-Oct-08	187986	Yes	804	1	189	glasshouse only	2		Scotland	Single finding	Raspberry	Glasshouse	DNA only	Imported plant material for testing			DNA only							
Phytophthora boehmeriae	1927	ITS	1	FJ801955	Phytophthora_boehmeriae_clone	" Coffey,M.D., Xu,E., Cunningham,I.M. and Sarhan,E.A. title: ITS Sequences from the World Phytophthora Collection (WPC) for the Phytophthora Database (PI) journal: Unpublished medline id:  pubmed id:  comment:  location: [0:827] "	02-May-09	109152	Yes	827	1	173	3 variants from yang paper	10		Not in UK						21-27	28	KT183035							
Phytophthora boehmeriae	1927	ITS	1	HQ643149	Phytophthora_boehmeriae	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M.,Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacerMol Ecol Resour 11 (6), 1002-1011 (2011)"	42020	109152	Yes	826				10		Not in UK						21-27	28	KT183035							
Phytophthora boehmeriae Voucher	1927	ITS	1	HQ643149	Phytophthora_boehmeriae_voucher	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.MHu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C.,Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A(DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer)"	16-Jan-15	109152			1	172		10																	
Phytophthora boodjera	2015	ITS	1	KJ372244	Phytophthora_boodjera	" Burgess,T.I. title: Re-evaluation of the Phytophthora alticola/P. arenaria species complex journal: Unpublished medline id:  pubmed id:  comment:  location: [0:788] "	26-Jan-16	1785729	Yes	788	1	180		4		Not in UK	Australia		Nursery		Eucalyptus nurseries in Western Australia	25	35								
Phytophthora borealis	2012	ITS	1	JQ626599	Phytophthora_borealis_isolate	"Phytophthora borealis and Phytophthora riparia, new species in Phytophthora ITS Clade 6. Mycologia 104 (5), 1133-1142 (2012).PUBMEDID 22778166. AUTHORS   Hansen,E.M., Reeser,P.W. and Sutton,W.. Submitted (06-FEB-2012) Botany and Plant Pathology, Oregon State. University, 2082 Cordley Hall, Corvallis, OR 97331, USA"	40945	1185512	Yes	1194	378	570		6		Not in UK		Water only	Water		"Reported from rivers in Alaska, Oregon Calif - no known host"	15-20	30-35								
Phytophthora botryosa	1969	ITS	1	AF266784	Phytophthora_botryosa	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:781] "	17-Dec-15	129348		781	1	161		2	a	Not in UK															
Phytophthora brassicae	2002	ITS	1	HQ643158	Phytophthora_brassicae_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:802] "	16-Jan-15	187813	NO	802	1	167		8	b	Scotland	Single finding	Water only	n/a	DNA only	Reported on Brassicas in mainland Europe	15-21	25	DNA only							
Phytophthora brassicae voucher	2002	ITS	1	HQ643156	Phytophthora_brassicae_voucher	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C.,Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer Mol Ecol Resour 11 (6), 1002-1011 (2011)"	16-Jan-15	187813		804	1	167		8	b	Scotland	Single finding	Water only	n/a	DNA only	Reported on Brassicas in mainland Europe	15-21	25	DNA only							
Phytophthora brassicae voucher	2002	ITS	1	HQ643157	Phytophthora_brassicae_voucher	"Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H.,Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C.,Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer Mol Ecol Resour 11 (6), 1002-1011 (2011)"	16-Jan-15	187813	NO	800	1	167		8	b	Scotland	Single finding	Water only	n/a	DNA only	Reported on Brassicas in mainland Europe	15-21	25	DNA only							
Phytophthora cactorum	1886	ITS	1	AF266772	Phytophthora_cactorum	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:792] "	17-Dec-15	29920		792	1	184	AS nursery survey and SCRI SF	1		Scotland	Widespread	Wide range	Multiple		Common hosts are Strawberry and Apple										
Phytophthora cajani	1978	ITS	1	AF266765	Phytophthora_cajani	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:826] "	17-Dec-15	129349		826	1	199		7	b	Not in UK															
Phytophthora cambivora	1927	ITS	1	KU681015	Phytophthora_cambivora_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chandelier,T.-T., Heungens,H., van Poucke,K., Abad-Campos,P., Leon,M., Cacciola,S.O. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2017) medline id:  pubmed id:  comment:  location: [0:831] "	24-Oct-16	53983	Yes	831	1	199	AS nursery survey plus SCRI SF	7	a	Scotland	Widespread	Wide range	Forests		Reported in nursery only but likely to be widespread			"KU681020,KU899314,KU899318 "							
Phytophthora cambivora	1927	ITS	1	KU899159	Phytophthora_cambivora_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chang,T.-T., Abad-Campos,P., Leon,M. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2016) medline id:  pubmed id:  comment:  location: [0:831] "	02-Nov-16	53983	Yes	831	1	199	AS nursery survey plus SCRI SF	7	a	Scotland	Widespread	Wide range	Forests		Reported in nursery only but likely to be widespread			"KU681020,KU899314,KU899318 "							
Phytophthora cambivora	1927	ITS	1	KU899163	Phytophthora_cambivora_isolate	" Jung,T., Horta Jung,M., Scanu,B., Seress,D., Kovacs,G.M., Maia,C., Perez-Sierra,A., Chang,T.-T., Abad-Campos,P., Leon,M. and Bakonyi,J. title: Six new Phytophthora species from ITS Clade 7a including two sexually functional heterothallic hybrid species detected in natural ecosystems in Taiwan journal: Persoonia 38, 100-135 (2016) medline id:  pubmed id:  comment:  location: [0:831] "	02-Nov-16	53983	Yes	831	1	199	AS nursery survey plus SCRI SF	7	a	Scotland	Widespread	Wide range	Forests		Reported in nursery only but likely to be widespread			"KU681020,KU899314,KU899318 "							
Phytophthora capensis	2010	ITS	1	GU191231	Phytophthora_capensis	" Bezuidenhout,C.M., Denman,S., Kirk,S.A., Botha,W.J., Mostert,L. and McLeod,A. title: Phytophthora taxa associated with cultivated Agathosma, with emphasis on the P. citricola complex and P. capensis sp. nov journal: Persoonia 25, 32-49 (2010) medline id:  pubmed id: 21339965 comment:  location: [0:806] "	01-Nov-10	911891	Yes	806	11	160		2	c	Not in UK						18-24	28								
Phytophthora capsici	1922	ITS	1	AF266787	Phytophthora_capsici	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:752] "	17-Dec-15	4784		752	1	140		2		Not in UK															
Phytophthora captiosa	2006	ITS	1	DQ297402	Phytophthora_captiosa_isolate	" Dick,M.A., Dobbie,K., Cooke,D.E. and Brasier,C.M. title: Phytophthora captiosa sp. nov. and P. fallax sp. nov. causing crown dieback of Eucalyptus in New Zealand journal: Mycol. Res. 110 (PT 4), 393-404 (2006) medline id:  pubmed id: 16650734 comment:  location: [0:799] "	18-May-06	360400	Yes	799	1	168		9	a	Not in UK						18-24	27								
Phytophthora caryae	2016	ITS	1	KJ631538	Phytophthora_citricola_isolate	" Brazee,N.J., Wick,R.L. and Hulvey,J. title: Phytophthora species recovered from the Connecticut River Valley in Massachusetts, USA journal: Unpublished medline id:  pubmed id:  comment:  location: [0:746] "	29-Jul-15	53984	NO	746	1	136		2		Not in UK	USA		Rivers		river baited Massachusetts & North Carolina	25	32								
Phytophthora castaneae	1976	ITS	1	HQ643255	Phytophthora_katsurae_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:797] "	16-Jan-15	129354	Yes	797	1	183		5		Not in UK	"Japan, China, Taiwan"				displaced P. katsurae (Weir et al 2015)	22.3	30								
Phytophthora castanetorum	2017	ITS	1	na					NO					11		Not in UK															
Phytophthora chlamydospora	2015	ITS	1	KU647272	Phytophthora_chlamydospora_isolate	"Dervis,S., Turkolmez,S., Ciftci,O. and Ulubas Serce,C. First report of Phytophthora chlamydospora Causing Root Rot on Walnut (Juglans regia) Trees in Turkey Plant Dis. (2016) In press"	19-Jul-16	78237		834	6	200	"AS river, AS nursery survey, ex Pgchlamydospore"	6		Scotland	Widespread	Wide range	Water 		"To date, Rhododendron and Vaccinium only"			KF750598							
Phytophthora chlamydospora	2015	ITS	1	KU725882	Phytophthora_chlamydospora_isolate	"Dervis,S., Turkolmez,S., Ciftci,O. and Ulubas Serce,C. First report of Phytophthora chlamydospora Causing Root Rot on Walnut (Juglans regia) Trees in Turkey Plant Dis. (2016) In press"	19-Jul-16	78237		708	1	176	"AS river, AS nursery survey, ex Pgchlamydospore"	6		Scotland	Widespread	Wide range	Water 		"To date, Rhododendron and Vaccinium only"			KF750598							
Phytophthora chrysanthemi	2011	ITS	1	AB437135	Phytophthora_chrysanthemi	" Naher,M., Motohash,K., Watanabe,H., Chikuo,Y., Senda,M., Suga,H., Brasier,C. and Kageyama,K. title: Phytophthora chrysanthemi sp. nov., a new species causing root rot of chrysanthemum in Japan journal: Mycol. Prog. 10, 21-31 (2011) medline id:  pubmed id:  comment:  location: [0:790] "	04-Aug-11	638948		790	1	165		9		Not in UK	"Japan, Germany, USA"	ornamentals			First reported Japan but now EU and USA										
Phytophthora cichorii	2013	ITS	1	KC478773	Phytophthora_cichorii	" Bertier,L., Brouwer,H., de Cock,A.W., Cooke,D.E., Olsson,C.H. and Hofte,M. title: The expansion of Phytophthora clade 8b: three new species associated with winter grown vegetable crops journal: Persoonia 31, 63-76 (2013) medline id:  pubmed id: 24761035 comment:  location: [0:809] "	26-Jun-13	1320215	Yes	809	1	169	likely	8	b	UK	Limited 	Chicory	Farmed land			18-21	24	KC478743							
Phytophthora cinnamomi	1922	ITS	1	HQ643194	Phytophthora_cinnamomi_voucher	" Robideau,G.P., De Cock,A.W., Coffey,M.D., Voglmayr,H., Brouwer,H., Bala,K., Chitty,D.W., Desaulniers,N., Eggertson,Q.A., Gachon,C.M., Hu,C.H., Kupper,F.C., Rintoul,T.L., Sarhan,E., Verstappen,E.C., Zhang,Y., Bonants,P.J., Ristaino,J.B. and Levesque,C.A. title: DNA barcoding of oomycetes with cytochrome c oxidase subunit I and internal transcribed spacer journal: Mol Ecol Resour 11 (6), 1002-1011 (2011) medline id:  pubmed id: 21689384 comment:  location: [0:823] "	16-Jan-15	4785	Yes	823	1	198	"Bodles Woodward, A Schlenzig nursery survey"	7	b	Scotland	Limited	Wide range	Forests		Limited findings but may spread in warming climate			HQ708262							
Phytophthora citricola E	1927	ITS	1	AF266788	Phytophthora_citricola_E	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:760] "	17-Dec-15	977911		760	1	150	same ITS as Phytophthora citricola typeI_III	2		UK	n/a	n/a	n/a		Type E from plurivora paper										
Phytophthora citricola sensu stricto	1927	ITS	1	FJ237526	Phytophthora_citricola	" Scott,P.M., Burgess,T.I., Barber,P.A., Shearer,B.L., Stukely,M.J., Hardy,G.E. and Jung,T. title: Phytophthora multivora sp. nov., a new species recovered from declining Eucalyptus, Banksia, Agonis and other plant species in Western Australia journal: Persoonia 22, 1-13 (2009) medline id:  pubmed id: 20198133 comment:  location: [0:761] "	01-Aug-13	53984	Yes	761	1	151	Sycamore in IUFRO report Brasier & Jung 2006	2		UK	n/a	n/a	n/a		Sensu stricto Most reports now redescribed as P. plurivora										
Phytophthora citricola typeI_III	1927	ITS	1	NOT_TAKEN_DQ648146					NO					2		UK	n/a	n/a	n/a		Type I and III from plurivora paper										
Phytophthora citrophthora	1925	ITS	1	AF266785	Phytophthora_citrophthora	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:782] "	17-Dec-15	4793		782	1	162	AS nursery survey	2		Scotland	Limited	Ornamentals	Nursery		Limited findings but may spread in warming climate										
Phytophthora clandestina	1985	ITS	1	AJ131989	Phytophthora_clandestina_5.8S	" Cooke,D.D.E.L., Jung,T., Williams,N.A., Schubert,R., Bahnweg,G., Oswald,W. and Duncan,J.M. title: Molecular evidence supports Phytophthora quercina as a distinct species journal: Unpublished medline id:  pubmed id:  comment:  location: [0:789] "	01-Jul-99	89334	Yes	789	1	179		1		Not in UK						18-22	28								
Phytophthora cocois	2015	ITS	1	KP295304	Phytophthora_cocois	" Weir,B.S., Paderes,E.P., Anand,N., Uchida,J.Y., Pennycook,S.R., Bellgard,S.E. and Beever,R.E. title: A taxonomic revision of Phytophthora Clade 5 including two new species, Phytophthora agathidicida and P. cocois journal: Phytotaxa 205 (1), 21-38 (2015) medline id:  pubmed id:  comment:  location: [0:808] "	10-May-15	1642464	Yes	808	6	187		5		Not in UK	"Hawaii, Ivory Coast"				Coconut decline and fruit drop	22	30								
Phytophthora colocasiae	1900	ITS	1	JN618819	Phytophthora_colocasiae	" Zhang,Y.H. and Coffey,M.D. title: Molecular phylogeny of Phytophthora meadii and closely related species journal: Unpublished medline id:  pubmed id:  comment:  location: [0:777] "	31-Aug-13	129350	Yes	777	1	159		2		Not in UK															
Phytophthora constricta	2011	ITS	1	HQ013225	Phytophthora_constricta	" Rea,A.J., Burgess,T.I., Hardy,G.E.St.J., Stukely,M.J.C. and Jung,T. title: Two novel and potentially endemic species of Phytophthora associated with episodic dieback of Kwongan vegetation in the south-west of Western Australia journal: Plant Pathol. 60 (6), 1055-1068 (2011) medline id:  pubmed id:  comment:  location: [0:794] "	30-Jun-15	929565	Yes	794	1	166		9		Not in UK															
Phytophthora crassamura	2015	ITS	1	KP863493	Phytophthora_crassamura_isolate	" Scanu,B., Linaldeddu,B.T., Deidda,A. and Jung,T. title: Diversity of Phytophthora Species from Declining Mediterranean Maquis Vegetation, including Two New Species, Phytophthora crassamura and P. ornamentata sp. nov journal: PLoS ONE 10 (12), E0143234 (2015) medline id:  pubmed id: 26649428 comment: Publication Status: Online-Only location: [0:813] "	17-Dec-15	1771973	Yes	813	1	193		6		Not in UK	"Sardinia, Italy & Australia"	Juniperus rhizosphere soil	Forests		Decline in Maquis vegetation	25	32.5-<35								
Phytophthora cryptogea	1919	ITS	1	AF266796	Phytophthora_cryptogea	" Cooke,D.E., Drenth,A., Duncan,J.M., Wagels,G. and Brasier,C.M. title: A molecular phylogeny of Phytophthora and related oomycetes journal: Fungal Genet. Biol. 30 (1), 17-32 (2000) medline id:  pubmed id: 10955905 comment:  location: [0:797] "	17-Dec-15	4786		797	1	173	AS river survey	8	a	Scotland	Widespread	Wide range	Multiple		Widely found in temperate regions - probably widespread										
